Index	Time	Speaker	Speech Segment	Open code(s)	Axial code(s)
1	"00:00:07"	"Speaker 3"	"Do you want to do like a mic check real quick or?"	""	""
2	"00:01:08"	"Speaker 3"	"Is that correct?"	""	""
3	"00:01:13"	"Speaker 3"	"OK, testing 123123. Testing. Testing."	""	""
4	"00:01:27"	"Speaker 1"	"Yeah."	""	""
5	"00:01:29"	"Speaker 4"	"Yeah, 123123."	""	""
7	"00:01:44"	"Speaker 3"	"Actually, I could also start writing the people in the."	""	""
8	"00:01:46"	"Speaker 2"	"Yep. Is it for now."	""	""
9	"00:01:50"	"Speaker 2"	"123"	""	""
10	"00:01:54"	"Speaker 3"	"123 of those, like a water dispenser. Just to fill my bottle."	""	""
11	"00:01:58"	"Speaker 1"	"Any of the bathroom?"	""	""
12	"00:01:59"	"Speaker 3"	"Any bathroom works."	""	""
13	"00:02:01"	"Speaker 1"	"The gender neutral ones won't. I don't. I didn’t see one on this floor, but the other ones that are gendered usually have the."	""	""
14	"00:02:08"	"Speaker 3"	"The top thingy?"	""	""
15	"00:02:09"	"Speaker 1"	"No, the the refill station right outside."	""	""
17	"00:02:16"	"Speaker 3"	"OK, cool. I'll be right back."	""	""
18	"00:02:26"	"Speaker 1"	"And then mic test. Am I good? Yeah, next."	""	""
19	"00:02:33"	"Speaker 3"	"Yeah, me too. I didn't get one of the whole days."	""	""
20	"00:02:39"	"Speaker 1"	"What's on your mind?"	""	""
21	"00:02:41"	"Speaker 2"	"I don't know. I'm balancing ideas against prizes."	"Prizes"	"Hackathon features"
22	"00:02:44"	"Speaker 3"	"That turn right from here, right?"	""	""
23	"00:02:46"	"Speaker 1"	"Before you shoot them down, say them out loud."	"Topic generation, Process"	"Design process, Team process"
24	"00:02:51"	"Speaker 2"	"But it's all blockchain related so."	"Desired topic"	"Project"
25	"00:02:54"	"Speaker 1"	"Do you want blockchain?"	"Desired topic"	"Project"
26	"00:02:56"	"Speaker 2"	"No, I, no, I know I'm thinking of it because I want a prize, so I'm trying to separate that out"	"Individual goal of getting a prize"	"Individual goal"
27	"00:03:01"	"Speaker 1"	"Well we might as well just go for the GitHub then. GitHub or Taipei. Taipei very few people will probably go for like if that's your goal."	"Uniqueness of project"	"Project"
28	"00:03:12"	"Speaker 2"	"Yeah. No, I don't want to like overshadow what everybody wants to do."	"Alignment of individual goal with team goal"	"Alignment of goals"
29	"00:03:28"	"Speaker 1"	"What do you want the project to have? Like we talked about game dev we talked about computer vision. It's like what we wanted to touch upon."	"Desired topic, Facilitation"	"Project, Team process"
30	"00:03:35"	"Speaker 3"	"She said that's awesome. Maybe they might not."	""	""
31	"00:03:49"	"Speaker 2"	"I'm interested in game dev. I'm concerned that we can't finish a polished product in the time we have because game dev is just difficult to like polish unless you do a hack scrappy job. The other thing that I was thinking of was computer vision related. So robotics and computer vision. I'm interested in it, but I just feel like it's going to be what everybody does because of the resources."	"Desired topic, Scoping team goal, Uniqueness of project"	"Project, Team goal"
32	"00:04:16"	"Speaker 1"	"Repeat, which is what everyone will already do?"	""	""
33	"00:04:20"	"Speaker 2"	"Robotics"	""	""
34	"00:04:23"	"Speaker 3"	"OK, cool. Thank you so much."	""	""
35	"00:04:23"	"Speaker 2"	"because so we have, they have some really nice libraries to make computer vision robotic products? Yeah, yeah, like the demo in the workshop is basically a bot that looks at you and finds you and like humans and gives you snacks like, it carries snacks and just gives you snacks. That's like the example. That's the example."	""	""
36	"00:04:43"	"Speaker 1"	"Are they making up BigMacs? OK. That's cute."	""	""
37	"00:04:47"	"Speaker 2"	"UM. Then they have one where like basically if you have a Pacman shirt it goes close to you, if you have a ghost shirt it goes away"	""	""
38	"00:04:57"	"Speaker 2"	"And scrappy good. Was it overused? What other thing? We also have AI which is going to be very difficult to have a niche."	"Uniqueness of project"	"Project"
39	"00:05:08"	"Speaker 3"	"Because actually I'm also."	""	""
40	"00:05:09"	"Speaker 2"	"Wow, I'm so negative."	""	""
41	"00:05:10"	"Speaker 3"	"Like because I flew, I'm in."	""	""
42	"00:05:11"	"Speaker 1"	"You are the devil's advocate of the group now."	"Role allocation"	"Team process"
43	"00:05:12"	"Speaker 3"	"[North American city] for a study."	""	""
44	"00:05:13"	"Speaker 2"	"Hahah no"	""	""
45	"00:05:14"	"Speaker 3"	"I came in from it"	""	""
46	"00:05:16"	"Speaker 1"	"And you said it's too niche or something?"	""	""
47	"00:05:16"	"Speaker 3"	"so my time zone is like, yeah"	""	""
48	"00:05:20"	"Speaker 2"	"No, too difficult to make a niche in AI because all it takes is a prompt."	""	""
49	"00:05:21"	"Speaker 3"	"I don't know how I'm still operating, yeah. 8 hours from here."	""	""
50	"00:05:27"	"Speaker 4"	"Oh that's that's crazy."	""	""
51	"00:05:29"	"Speaker 2"	"OK, if you use computer vision. OK, I got it. I think that's definitely possible. So. The only caveat is I think robotics and computer vision. Is there a nice use case? But well, if you want to do something nobody else is doing that, it's mobile or Web dev or you know screw in dev."	"Uniqueness of project, Feasibility of idea"	"Project"
52	"00:05:49"	"Speaker 1"	"I have a theory that will put game dev and computer vision together."	""	""
53	"00:05:52"	"Speaker 2"	"OK. Yeah, go for it."	""	""
54	"00:05:54"	"Speaker 1"	"Like you know, those games where? Take the Wii. Where you like, move around and then it detects what your movement is to determine what the input is? So like the example that my professor gave was like if you're playing ping pong instead of like you actually physically moved to catch the ball as you're playing pinball."	"Topic generation"	"Design process"
55	"00:06:14"	"Speaker 3"	"Mm-hmm. OK. So it's like you're playing ping pong with body movements is that what you're conference?"	""	""
56	"00:06:18"	"Speaker 1"	"Playing ping pong. Against this hypothetical TV screen and then it's scanning you and your movement depending, and it'll say like the ping pong bounce or not, depending on if you actually caught it."	"Explanation of an idea"	"Project"
